id,name,type,calculatedCourse,routeName,created,longitude,latitude,speed,paxLoad,totalCap,outOfService,more,tripId,deviceId,outdated,routeBlockId,timestamp
15186,0127,,51.773095717243336,B Route,01:32 PM,-74.438771200,40.524950800,,9,67,0,102,,429476,0,113249,2024-10-24 13:32:51
15188,0129,,251.72947899640855,C Route,01:32 PM,-74.465049100,40.523683900,,2,67,0,101,,429478,0,5450,2024-10-24 13:32:51
15189,0130,,48.64007281225338,F Route,01:30 PM,-74.437498600,40.489489000,,2,67,0,102,,429482,0,117894,2024-10-24 13:32:51
15187,0128,,261.6655140437506,EE Route,01:32 PM,-74.441134000,40.492650600,,34,67,0,101,,429484,0,111601,2024-10-24 13:32:51
4855,4131,Transit Bus,245.59448246512713,A Route,01:33 PM,-74.459844300,40.518811600,,17,67,0,101,,402213,0,111528,2024-10-24 13:33:21
4856,4132,Transit Bus,78.21947622763656,EE Route,01:33 PM,-74.446072500,40.499594800,,30,67,0,102,,402215,0,111579,2024-10-24 13:33:21
4859,4177,Transit Bus,114.467721251488,LX Route,01:33 PM,-74.433314500,40.522966100,,38,67,0,102,,402325,0,111417,2024-10-24 13:33:21
4873,4191,Transit Bus,64.2178809973567,H Route,01:33 PM,-74.445229000,40.499852000,,27,67,0,101,,402329,0,111639,2024-10-24 13:33:21
4876,4194,Transit Bus,179.03248137786682,F Route,01:33 PM,-74.453252800,40.504522800,,27,67,0,102,,402330,0,117891,2024-10-24 13:33:21
17624,4002,Heavy Duty Transit LF,37.56859205531242,REXB Route,01:33 PM,-74.465240300,40.523613500,,26,68,0,101,,402643,0,112511,2024-10-24 13:33:21
4863,4181,Transit Bus,287.215152454125,LX Route,01:33 PM,-74.447463800,40.524819300,,36,67,0,102,,402645,0,111422,2024-10-24 13:33:21
4853,4129,Transit Bus,333.4166804285643,LX Route,01:33 PM,-74.445842500,40.501173800,,39,67,0,102,,402646,0,111416,2024-10-24 13:33:21
4877,4195,Transit Bus,225.21636497947773,REXL Route,01:33 PM,-74.439016800,40.483212600,,24,67,0,101,,402647,0,111678,2024-10-24 13:33:21
4874,4192,Transit Bus,102.88281613582978,LX Route,01:32 PM,-74.442133800,40.523307100,,59,67,0,102,,402698,0,111418,2024-10-24 13:33:21
4870,4188,Transit Bus,134.11147019990858,A Route,01:33 PM,-74.449588800,40.500923500,,34,67,0,102,,402699,0,111530,2024-10-24 13:33:21
4891,4209,Transit Bus,170.31753206310032,REXL Route,01:33 PM,-74.436490600,40.524192800,,19,67,0,101,,402707,0,111679,2024-10-24 13:33:21
4895,4212,Transit Bus,349.91461824136684,H Route,01:33 PM,-74.451813100,40.506138300,,19,67,0,102,,402708,0,111640,2024-10-24 13:33:21
4893,4211,Transit Bus,99.15352402912913,REXL Route,01:33 PM,-74.451589300,40.506130600,,27,67,0,102,,402720,0,111676,2024-10-24 13:33:21
4881,4199,Transit Bus,335.11705184708455,A Route,01:33 PM,-74.463123000,40.521600100,,35,67,0,102,,402723,0,111529,2024-10-24 13:33:21
4886,4204,Transit Bus,123.20750449477612,B Route,01:33 PM,-74.458304100,40.523895800,,34,67,0,101,,402727,0,113248,2024-10-24 13:33:21
4885,4203,Transit Bus,175.23635859004003,B Route,01:33 PM,-74.438497500,40.525174800,,29,67,0,101,,402729,0,113245,2024-10-24 13:33:21
4882,4200,Transit Bus,168.02623098613935,EE Route,01:32 PM,-74.439440600,40.494329500,,19,67,0,102,,402733,0,111581,2024-10-24 13:33:21
4872,4190,Transit Bus,72.25073920494799,B Route,01:33 PM,-74.464257000,40.523906300,,46,67,0,102,,402741,0,113278,2024-10-24 13:33:21
7181,0205,Transit Bus,265.56435345946807,F Route,01:33 PM,-74.448049100,40.503578500,,65,75,0,101,,405378,0,117893,2024-10-24 13:33:21
7179,0201,Transit Bus,114.3317556480788,F Route,01:33 PM,-74.437204300,40.485459100,,30,67,0,101,,405380,0,117892,2024-10-24 13:33:21
4851,4128,Transit Bus,350.4989834467923,EE Route,01:33 PM,-74.432548100,40.483754100,,23,67,0,102,,405382,0,111602,2024-10-24 13:33:21
7151,0202,Transit Bus,303.42905679346774,EE Route,01:33 PM,-74.449031300,40.504060600,,30,75,0,102,,405404,0,111578,2024-10-24 13:33:21
7180,0204,Transit Bus,45.637986975066326,A Route,01:33 PM,-74.462938600,40.525138100,,53,67,0,102,,406275,0,111531,2024-10-24 13:33:21
4840,1004,Transit Bus,136.4502162827847,LX Route,01:33 PM,-74.448542600,40.499932000,,24,69,0,101,,411187,0,111413,2024-10-24 13:33:21
4843,1012,Transit Bus,191.67036866992888,LX Route,01:33 PM,-74.451401800,40.519874600,,55,71,0,102,,411189,0,111421,2024-10-24 13:33:21
9418,4125,,273.10654298929336,H Route,01:33 PM,-74.460138800,40.516713500,,15,57,0,102,,415102,0,111641,2024-10-24 13:33:21
9419,4050,,175.0834340248282,REXL Route,01:33 PM,-74.436492800,40.523917500,,2,67,0,101,,415104,0,111680,2024-10-24 13:33:21
9421,4052,,249.4439548052026,EE Route,01:33 PM,-74.436455500,40.481068500,,38,67,0,101,,415105,0,111582,2024-10-24 13:33:21
17625,4003,Heavy Duty Transit LF,293.7633142267234,REXL Route,01:33 PM,-74.442023500,40.523322300,,80,80,0,102,,417553,0,111677,2024-10-24 13:33:21
11195,3260,,218.0625485986415,LX Route,01:33 PM,-74.433568800,40.519862100,,29,30,0,101,,417554,0,111417,2024-10-24 13:33:21
17626,4004,Heavy Duty Transit LF,38.23382517933413,REXB Route,01:33 PM,-74.437216800,40.484982600,,68,68,0,101,,417555,0,112512,2024-10-24 13:33:21
11204,4910,Shuttle Bus,118.30075574421909,B-He Route,01:33 PM,-74.458028500,40.523546600,,12,30,0,101,,417557,0,112747,2024-10-24 13:33:21
11194,3255,Shuttle Bus,244.3678436288119,A Route,01:33 PM,-74.460004000,40.518726000,,14,30,0,101,,417559,0,111532,2024-10-24 13:33:21
13211,4035,,124.71462205572243,LX Route,01:33 PM,-74.448792100,40.500121000,,71,75,0,101,,422692,0,111411,2024-10-24 13:33:21
13210,4034,,296.79465695598776,EE Route,01:33 PM,-74.439563600,40.486715800,,40,67,0,102,,422694,0,111580,2024-10-24 13:33:21
13214,4038,,230.47015714599604,H Route,01:33 PM,-74.452867000,40.516159800,,25,67,0,102,,422698,0,111638,2024-10-24 13:33:21
13213,4037,,342.39881864206626,REXB Route,01:33 PM,-74.437381600,40.483141800,,21,67,0,101,,422700,0,112510,2024-10-24 13:33:21
13216,4040,,45.33082155527762,B Route,01:33 PM,-74.439745600,40.523976100,,51,67,0,102,,422708,0,113245,2024-10-24 13:33:21
13209,4033,,278.6303881829051,B-He Route,01:33 PM,-74.443051800,40.523595300,,27,67,0,102,,422712,0,111329,2024-10-24 13:33:21
13217,4041,,129.74569257478709,B Route,01:33 PM,-74.458646100,40.524085300,,24,67,0,102,,422714,0,113246,2024-10-24 13:33:21
